Price,Close,High,Low,Open,Volume
Ticker,EWZ,EWZ,EWZ,EWZ,EWZ
Date,,,,,
2019-01-02,27.53413200378418,27.628983424377733,26.32815951136779,26.38235921548952,41926700
2019-01-03,27.71028709411621,27.805138515520305,27.385078528577324,27.778037370974165,24851700
2019-01-04,28.333600997924805,28.52330386139674,27.54091181741049,27.696739538763534,40899800
2019-01-07,28.049049377441406,28.448782295380816,27.927096786577994,28.4216811452983,26407700
2019-01-08,28.38779640197754,28.43522210633326,27.981287041705176,28.177766436611467,23524800
2019-01-09,29.105958938598633,29.153384643596016,28.868830413611704,28.889154977322846,38010000
2019-01-10,29.065317153930664,29.22791887371194,28.638483116616275,28.97723971475296,31156900
2019-01-11,28.984006881713867,29.024658594336653,28.665577511943667,28.77397949443063,13875400
2019-01-14,29.11951446533203,29.363419609406286,28.801082462289802,28.855284754087425,21208100
2019-01-15,28.956912994384766,29.22114270777766,28.69268069648433,29.112740707808587,19891000
2019-01-16,28.909486770629883,29.072091074503852,28.767209620057496,28.882388207073998,18320200
2019-01-17,29.146615982055664,29.349869409867644,28.624930547150125,28.645255114579058,22797600
2019-01-18,29.26856231689453,29.573443685879194,29.085633495503735,29.4853662716154,29408800
2019-01-22,28.557174682617188,29.288887396579085,28.441996125855052,29.160160853851572,30949600
2019-01-23,29.32954216003418,29.363417297486784,28.780755629075635,29.05176189771111,28834000
2019-01-24,29.57345199584961,29.7767054374501,29.28212111523607,29.390523123056848,30082100
2019-01-25,29.68862533569336,30.169659040722888,29.492145906481582,29.925753898874817,21799300
2019-01-28,29.044986724853516,29.268567294971795,28.767206449090093,28.834959311780832,30253600
2019-01-29,29.431169509887695,29.736050936046553,29.397294370205042,29.695401802230364,21493000
2019-01-30,30.217084884643555,30.318712889024297,29.48537204042777,29.898655467631762,32022600
2019-01-31,30.7387638092041,30.975894907770375,30.562611567975328,30.69811468365506,27113800
2019-02-01,30.75909423828125,30.826844511096144,30.359361425855976,30.535513685879053,20050200
2019-02-04,30.799739837646484,30.860716109993184,30.244179393824087,30.311932243379832,18766100
2019-02-05,30.630359649658203,30.820065031886873,30.400005144778717,30.610035088332793,17413600
2019-02-06,29.356647491455078,29.959633811450885,29.241468906277486,29.803806089334596,42121900
2019-02-07,29.16693687438965,29.4921428348137,28.828180342551192,29.404067997380906,38518400
2019-02-08,29.18048858642578,29.404069146742064,28.570725771478948,29.34309286524738,30687300
2019-02-11,28.787538528442383,29.146619716400263,28.489431050583413,29.12629514636729,27476000
2019-02-12,29.607322692871094,29.885102957732162,29.20081328620372,29.27534013998477,36852600
2019-02-13,29.18048858642578,29.620873128832642,29.05176202971804,29.52602170973143,24779900
2019-02-14,29.97995376586914,30.156106029344148,28.773981311482164,28.814630442164777,41495100
2019-02-15,30.115455627441406,30.217081034365467,29.763148530855535,30.149330763082762,27715900
2019-02-19,29.912206649780273,30.237412652112052,29.891879497785588,29.898656076619673,22515000
2019-02-20,29.647977828979492,30.230639620720588,29.5734535446124,29.898659585105783,32090900
2019-02-21,29.505695343017578,29.539570481523583,29.105962505828963,29.417617915296045,31578200
